PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,dataset,duplicate_count,duplicate
29134237,Neuronal Cell Adhesion Molecule 1 Regulates Leptin Sensitivity and Bone Mass,"Yan X, Kononenko NL, Brüel A, Thomsen JS, Poy MN.",Calcif Tissue Int. 2018 Mar;102(3):329-336. doi: 10.1007/s00223-017-0361-5. Epub 2017 Nov 13.,Yan X,Calcif Tissue Int,2018,2017/11/15,,,10.1007/s00223-017-0361-5,search_02,1,not
38535247,Active and Passive Mineralization of Bio-Gide(®) Membranes in Rat Calvaria Defects,"Apaza Alccayhuaman KA, Heimel P, Tangl S, Lettner S, Kampleitner C, Panahipour L, Kuchler U, Gruber R.",J Funct Biomater. 2024 Feb 21;15(3):54. doi: 10.3390/jfb15030054.,Apaza Alccayhuaman KA,J Funct Biomater,2024,2024/03/27,PMC10970795,,10.3390/jfb15030054,search_02,1,not
38940461,The Hox code responsible for the patterning of the anterior vertebrae in zebrafish,"Maeno A, Koita R, Nakazawa H, Fujii R, Yamada K, Oikawa S, Tani T, Ishizaka M, Satoh K, Ishizu A, Sugawara T, Adachi U, Kikuchi M, Iwanami N, Matsuda M, Kawamura A.",Development. 2024 Jul 15;151(14):dev202854. doi: 10.1242/dev.202854. Epub 2024 Jul 12.,Maeno A,Development,2024,2024/06/28,,,10.1242/dev.202854,search_02,1,not
32428686,Tracking tendon fibers to their insertion - a 3D analysis of the Achilles tendon enthesis in mice,"Sartori J, Stark H.",Acta Biomater. 2021 Jan 15;120:146-155. doi: 10.1016/j.actbio.2020.05.001. Epub 2020 May 16.,Sartori J,Acta Biomater,2021,2020/05/20,,,10.1016/j.actbio.2020.05.001,"search_02, search_03",2,duplicate
36830586,Functional Loss of Terminal Complement Complex Protects Rabbits from Injury-Induced Osteoarthritis on Structural and Cellular Level,"Riegger J, Joos H, Möhler V, Leucht F, Rading K, Kubisch C, Ignatius A, Huber-Lang M, Brenner RE.",Biomolecules. 2023 Jan 22;13(2):216. doi: 10.3390/biom13020216.,Riegger J,Biomolecules,2023,2023/02/25,PMC9953363,,10.3390/biom13020216,search_02,1,not
28793410,A Bone Sample Containing a Bone Graft Substitute Analyzed by Correlating Density Information Obtained by X-ray Micro Tomography with Compositional Information Obtained by Raman Microscopy,"Charwat-Pessler J, Musso M, Petutschnigg A, Entacher K, Plank B, Wernersson E, Tangl S, Schuller-Götzburg P.",Materials (Basel). 2015 Jun 25;8(7):3831-3853. doi: 10.3390/ma8073831.,Charwat-Pessler J,Materials (Basel),2015,2017/08/11,PMC5455664,,10.3390/ma8073831,"search_02, search_03",2,duplicate
20668554,Microvesicles derived from adult human bone marrow and tissue specific mesenchymal stem cells shuttle selected pattern of miRNAs,"Collino F, Deregibus MC, Bruno S, Sterpone L, Aghemo G, Viltono L, Tetta C, Camussi G.",PLoS One. 2010 Jul 27;5(7):e11803. doi: 10.1371/journal.pone.0011803.,Collino F,PLoS One,2010,2010/07/30,PMC2910725,,10.1371/journal.pone.0011803,search_02,1,not
25583221,The impact of weakly bound ⁸⁹Zr on preclinical studies: non-specific accumulation in solid tumors and aspergillus infection,"Severin GW, Jørgensen JT, Wiehr S, Rolle AM, Hansen AE, Maurer A, Hasenberg M, Pichler B, Kjær A, Jensen AI.",Nucl Med Biol. 2015 Apr;42(4):360-8. doi: 10.1016/j.nucmedbio.2014.11.005. Epub 2014 Nov 22.,Severin GW,Nucl Med Biol,2015,2015/01/14,,,10.1016/j.nucmedbio.2014.11.005,search_02,1,not
18423281,Characterization of gene expression profiles of 3 different human oral squamous cell carcinoma cell lines with different invasion and metastatic capacities,"Erdem NF, Carlson ER, Gerard DA.",J Oral Maxillofac Surg. 2008 May;66(5):918-27. doi: 10.1016/j.joms.2007.12.036.,Erdem NF,J Oral Maxillofac Surg,2008,2008/04/22,,,10.1016/j.joms.2007.12.036,search_02,1,not
39174951,Prediction of midpalatal suture maturation stage based on transfer learning and enhanced vision transformer,"Tang H, Liu S, Tan W, Fu L, Yan M, Feng H.",BMC Med Inform Decis Mak. 2024 Aug 22;24(1):232. doi: 10.1186/s12911-024-02598-w.,Tang H,BMC Med Inform Decis Mak,2024,2024/08/22,PMC11340164,,10.1186/s12911-024-02598-w,"search_020, search_021",2,duplicate
