PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,DOI,Prediction,Segmentation,Radiomics Constrast/Texture,Classification,Super Resolution,Clustering,Data Reduction,Data Integration,ML_Task,Modality,Species,In Vivo or Ex Vivo,Model,Accuracy
29931462,Diet Quality and Bone Measurements Using HRpQCT and pQCT in Older Community-Dwelling Adults from the Hertfordshire Cohort Study,"Shaw SC, Parsons CM, Fuggle NR, Edwards MH, Robinson SM, Dennison EM, Cooper C, Ward KA.",Calcif Tissue Int. 2018 Nov;103(5):494-500. doi: 10.1007/s00223-018-0445-x. Epub 2018 Jun 21.,Shaw SC,Calcif Tissue Int,2018,6/23/18,10.1007/s00223-018-0445-x,,,,,,,Yes,,Data Reduction,HRpQCT,Human,In Vivo,Principal Component Analysis,
30184248,Flesh and bone: An integrative approach towards sexual size dimorphism of a terrestrial salamander (genus Salamandrina),"Pogoda P, Kupfer A.",J Morphol. 2018 Oct;279(10):1468-1479. doi: 10.1002/jmor.20883. Epub 2018 Sep 5.,Pogoda P,J Morphol,2018,9/6/18,10.1002/jmor.20883,,,,,,,Yes,,Data Reduction,microCT,Salamanders,Ex Vivo,Principal Component Analysis,
29239487,Evolution of skull shape in the family Salamandridae (Amphibia: Caudata),"Ivanović A, Arntzen JW.",J Anat. 2018 Mar;232(3):359-370. doi: 10.1111/joa.12759. Epub 2017 Dec 14.,Ivanović A,J Anat,2018,12/15/17,10.1111/joa.12759,,,,,,,Yes,,Data Reduction,microCT,Salamanders,Ex Vivo,Principal Component Analysis,
31187198,Cluster Analysis of Finite Element Analysis and Bone Microarchitectural Parameters Identifies Phenotypes with High Fracture Risk,"Westbury LD, Shere C, Edwards MH, Cooper C, Dennison EM, Ward KA.",Calcif Tissue Int. 2019 Sep;105(3):252-262. doi: 10.1007/s00223-019-00564-7. Epub 2019 Jun 11.,Westbury LD,Calcif Tissue Int,2019,6/13/19,10.1007/s00223-019-00564-7,,,,Yes,,Yes,,,Clustering; Classification,HRpQCT,Human,In Vivo,K-Means Clustering; Logistic Regression,0.7
30471462,Supervised learning for bone shape and cortical thickness estimation from CT images for finite element analysis,"Chandran V, Maquer G, Gerig T, Zysset P, Reyes M.",Med Image Anal. 2019 Feb;52:42-55. doi: 10.1016/j.media.2018.11.001. Epub 2018 Nov 16.,Chandran V,Med Image Anal,2019,11/25/18,10.1016/j.media.2018.11.001,,,,,Yes,,Yes,,Super Resolution; Data Reduction,HRpQCT,Human,Ex Vivo,Extra Trees; Principal Component Analysis,Not Reported
31004486,Functional coupling in the evolution of suction feeding and gill ventilation of sculpins (Perciformes: Cottoidei),"Farina SC, Knope ML, Corn KA, Summers AP, Bemis WE.",Integr Comp Biol. 2019 Aug 1;59(2):394-409. doi: 10.1093/icb/icz022.,Farina SC,Integr Comp Biol,2019,4/21/19,10.1093/icb/icz022,,,,,,,Yes,,Data Reduction,microCT,Fish (Sculpins),Ex Vivo,Principal Component Analysis,
31276849,Mandibular bone is protected against microarchitectural alterations and bone marrow adipose conversion in ovariectomized rats,"Coutel X, Delattre J, Marchandise P, Falgayrac G, Béhal H, Kerckhofs G, Penel G, Olejnik C.",Bone. 2019 Oct;127:343-352. doi: 10.1016/j.bone.2019.06.031. Epub 2019 Jul 2.,Coutel X,Bone,2019,7/6/19,10.1016/j.bone.2019.06.031,,,,,,,Yes,,Data Reduction,microCT,Rats,Ex Vivo,Principal Component Analysis,
32695850,Prediction of trabecular bone architectural features by deep learning models using simulated DXA images,"Xiao P, Zhang T, Dong XN, Han Y, Huang Y, Wang X.",Bone Rep. 2020 Jul 8;13:100295. doi: 10.1016/j.bonr.2020.100295. eCollection 2020 Dec.,Xiao P,Bone Rep,2020,7/23/20,10.1016/j.bonr.2020.100295,Yes,,,,,,,,Prediction,microCT,Human,Ex Vivo,Custom-Convolutional Neural Network,0.8
32058080,Decoding rejuvenating effects of mechanical loading on skeletal aging using in vivo μCT imaging and deep learning,"Asgharzadeh P, Röhrle O, Willie BM, Birkhold AI.",Acta Biomater. 2020 Apr 1;106:193-207. doi: 10.1016/j.actbio.2020.02.007. Epub 2020 Feb 11.,Asgharzadeh P,Acta Biomater,2020,2/15/20,10.1016/j.actbio.2020.02.007,Yes,,,,,,,,Prediction,microCT,mouse,In Vivo,Custom-Convolutional Neural Network,0.95
32084166,ChronoMID-Cross-modal neural networks for 3-D temporal medical imaging data,"Rakowski AG, Veličković P, Dall'Ara E, Liò P.",PLoS One. 2020 Feb 21;15(2):e0228962. doi: 10.1371/journal.pone.0228962. eCollection 2020.,Rakowski AG,PLoS One,2020,2/22/20,10.1371/journal.pone.0228962,,,,Yes,,,,,Classification,microCT,Mouse,In Vivo,Cross-Modal Convolutional Neural Network,0.99
